id,department,jobtitle,salary,location_city,location_state,conditions
99-7714113,Accounting,Supply Chain Analyst,"$117,972",Cleveland,Ohio,Headquarters
99-6352484,Accounting,Supply Chain Analyst,"$54,351",Cleveland,Ohio,Remote
99-6227758,Accounting,Supply Chain Analyst,"$109,965",Cleveland,Ohio,Headquarters
99-2837871,Accounting,Supply Chain Analyst,"$86,312",Cleveland,Ohio,Headquarters
99-0282555,Accounting,Supply Chain Analyst,"$55,423",Cleveland,Ohio,Headquarters
98-8768749,Accounting,Supply Chain Analyst,"$89,894",Cleveland,Ohio,Headquarters
98-8322704,Accounting,Supply Chain Analyst,"$111,749",Cleveland,Ohio,Headquarters
98-6142544,Accounting,Supply Chain Analyst,"$117,034",Cleveland,Ohio,Headquarters
98-0759640,Accounting,Supply Chain Analyst,"$111,745",Madison,Wisconsin,Remote
97-8001157,Accounting,Supply Chain Analyst,"$56,929",Cleveland,Ohio,Headquarters
97-4767939,Accounting,Supply Chain Analyst,"$83,965",Cleveland,Ohio,Headquarters
97-4745151,Accounting,Supply Chain Analyst,"$100,187",Cincinnati,Ohio,Remote
97-1912316,Accounting,Supply Chain Analyst,"$116,184",Cleveland,Ohio,Headquarters
95-9763825,Accounting,Supply Chain Analyst,"$96,868",Appleton,Wisconsin,Remote
95-8948352,Accounting,Supply Chain Analyst,"$114,004",Cleveland,Ohio,Headquarters
95-7068131,Accounting,Supply Chain Analyst,"$115,227",Dayton,Ohio,Remote
95-6409590,Accounting,Supply Chain Analyst,"$82,731",Madison,Wisconsin,Remote
95-1900224,Accounting,Supply Chain Analyst,"$93,444",Pittsburgh,Pennsylvania,Remote
95-1597201,Accounting,Supply Chain Analyst,"$62,617",Cleveland,Ohio,Headquarters
95-0654107,Accounting,Supply Chain Analyst,"$81,871",Cleveland,Ohio,Headquarters
94-8427022,Accounting,Supply Chain Analyst,"$119,954",Cleveland,Ohio,Remote
94-8336728,Accounting,Supply Chain Analyst,"$113,839",Cleveland,Ohio,Headquarters
94-2915343,Accounting,Supply Chain Analyst,"$110,735",Cleveland,Ohio,Headquarters
94-1220426,Accounting,Supply Chain Analyst,"$55,811",Cleveland,Ohio,Headquarters
94-0017834,Accounting,Supply Chain Analyst,"$95,989",Cleveland,Ohio,Headquarters
93-6140119,Accounting,Supply Chain Analyst,"$50,017",Cleveland,Ohio,Headquarters
93-4458619,Accounting,Supply Chain Analyst,"$51,600",Louisville,Kentucky,Remote
93-4062210,Accounting,Supply Chain Analyst,"$88,496",Springfield,Illinois,Remote
